year,WBcode,lsc,lhc,yr_sch
1950,DZA,0.46,0.16,0.85
1955,DZA,0.5,0.14,0.84
1960,DZA,1.05,0.17,0.88
1965,DZA,1.79,0.23,1.1
1970,DZA,3.26,0.18,1.55
1975,DZA,5.1,0.38,2.11
1980,DZA,7.56,0.77,2.81
1985,DZA,11.31,1.34,3.99
1990,DZA,14.35,1.97,4.74
1995,DZA,16.37,2.53,5.41
2000,DZA,15.41,3.4,5.67
2005,DZA,14,3.78,5.54
2010,DZA,17.08,6.66,6.68
1950,BEN,0.57,0.09,0.44
1955,BEN,0.65,0.1,0.53
1960,BEN,0.74,0.11,0.61
1965,BEN,0.89,0.13,0.76
1970,BEN,1,0.13,0.84
1975,BEN,1.18,0.13,0.94
1980,BEN,2.08,0.14,1.22
1985,BEN,3.52,0.41,1.71
1990,BEN,5.51,0.52,2.16
1995,BEN,7.54,0.81,2.61
2000,BEN,10.36,1.01,3.11
2005,BEN,14.02,1.36,3.72
2010,BEN,17.77,2.01,4.43
1950,BWA,0.55,0.09,1.38
1955,BWA,0.56,0.09,1.42
1960,BWA,0.57,0.09,1.46
1965,BWA,0.56,0.06,1.71
1970,BWA,1.17,0.28,2.14
1975,BWA,1.64,0.25,2.74
1980,BWA,2.3,0.19,3.12
1985,BWA,9.68,1.09,5.29
1990,BWA,23.03,1.52,6.86
1995,BWA,25.93,1.9,8.24
2000,BWA,28.52,1.73,8.82
2005,BWA,29.32,1.79,9.22
2010,BWA,29.03,2.02,9.55
1950,BDI,0.18,0.02,0.42
1955,BDI,0.23,0.03,0.52
1960,BDI,0.31,0.05,0.67
1965,BDI,0.39,0.07,0.81
1970,BDI,0.59,0.11,1.06
1975,BDI,0.81,0.14,1.28
1980,BDI,1,0.19,1.45
1985,BDI,1.22,0.25,1.54
1990,BDI,1.59,0.24,1.74
1995,BDI,2.19,0.24,2.18
2000,BDI,2.68,0.24,2.56
2005,BDI,3.52,0.34,2.88
2010,BDI,4.97,0.54,3.35
1950,CMR,0.73,0.04,0.69
1955,CMR,0.93,0.06,0.87
1960,CMR,1.15,0.08,1.08
1965,CMR,1.71,0.11,1.43
1970,CMR,2.25,0.13,1.81
1975,CMR,3.46,0.15,2.42
1980,CMR,5.05,0.18,3.04
1985,CMR,6.77,0.28,3.7
1990,CMR,8.71,0.45,4.37
1995,CMR,10.6,0.64,5
2000,CMR,12.17,0.8,5.46
2005,CMR,13.46,1.15,5.77
2010,CMR,15.28,1.64,6.15
1950,CAF,0.39,0.05,0.39
1955,CAF,0.44,0.06,0.44
1960,CAF,0.52,0.06,0.5
1965,CAF,0.73,0.08,0.6
1970,CAF,1.04,0.09,0.82
1975,CAF,1.59,0.09,1.15
1980,CAF,2.79,0.36,1.66
1985,CAF,3.72,0.68,2.06
1990,CAF,5.48,0.87,2.67
1995,CAF,6.46,0.81,2.99
2000,CAF,7.43,0.83,3.29
2005,CAF,8.39,0.82,3.55
2010,CAF,9.54,0.83,3.76
1950,COG,0.85,0.05,0.79
1955,COG,0.93,0.08,0.97
1960,COG,1.02,0.12,1.14
1965,COG,1.57,0.25,1.57
1970,COG,2.17,0.38,2.09
1975,COG,4.66,0.78,3.28
1980,COG,6.71,1.09,4.17
1985,COG,8.33,1.09,4.97
1990,COG,8.42,1.1,5.37
1995,COG,8.82,1.14,5.62
2000,COG,7.9,0.96,5.67
2005,COG,7.17,0.79,5.77
2010,COG,6.64,0.64,5.94
1950,EGY,0.73,0.58,0.52
1955,EGY,0.87,0.78,0.67
1960,EGY,1.02,0.96,0.81
1965,EGY,1.35,1.18,1.04
1970,EGY,1.76,1.36,1.31
1975,EGY,3.16,1.3,1.69
1980,EGY,6.15,1.86,2.65
1985,EGY,10.62,1.99,3.76
1990,EGY,14.48,1.87,4.41
1995,EGY,18.07,2.18,5.12
2000,EGY,20.42,4.19,6.03
2005,EGY,23.95,5.29,6.66
2010,EGY,26.38,6.65,7.15
1950,GAB,0.37,0.12,0.47
1955,GAB,1.19,0.43,0.82
1960,GAB,1.41,0.48,1.01
1965,GAB,2.02,0.69,1.42
1970,GAB,2.47,0.9,1.82
1975,GAB,4.12,1.66,2.6
1980,GAB,5.63,2.39,3.31
1985,GAB,8.1,3.5,4.3
1990,GAB,10.65,4.1,5.25
1995,GAB,13.47,5.06,6.25
2000,GAB,15.98,5.54,7.02
2005,GAB,19.47,5.73,7.71
2010,GAB,23.18,6.3,8.39
1950,GMB,0.55,0.07,0.4
1955,GMB,0.68,0.09,0.43
1960,GMB,0.8,0.1,0.47
1965,GMB,0.96,0.1,0.52
1970,GMB,1.09,0.1,0.57
1975,GMB,1.33,0.09,0.73
1980,GMB,1.64,0.27,0.97
1985,GMB,2.01,0.5,1.27
1990,GMB,2.33,0.77,1.75
1995,GMB,3.32,1.01,2.45
2000,GMB,3.49,1.02,2.64
2005,GMB,4.12,0.94,3.25
2010,GMB,4.63,0.91,3.77
1950,GHA,0.23,0.32,0.68
1955,GHA,0.36,0.34,0.8
1960,GHA,0.34,0.34,1.05
1965,GHA,2.56,0.26,1.95
1970,GHA,5.24,0.17,3.06
1975,GHA,6.67,0.38,3.86
1980,GHA,8.12,0.57,4.53
1985,GHA,9.76,0.88,5.2
1990,GHA,11.13,1.14,5.65
1995,GHA,12.68,1.39,5.89
2000,GHA,15.12,1.84,6.44
2005,GHA,17.24,1.65,7.01
2010,GHA,18.5,1.44,7
1950,CIV,0.91,0.23,0.84
1955,CIV,0.96,0.29,0.88
1960,CIV,1.07,0.37,0.96
1965,CIV,1.22,0.46,1.06
1970,CIV,1.61,0.55,1.29
1975,CIV,2.62,0.71,1.71
1980,CIV,3.14,0.83,2.06
1985,CIV,3.57,0.98,2.37
1990,CIV,4.19,0.85,2.69
1995,CIV,4.29,1.63,3.3
2000,CIV,4.92,2.08,3.87
2005,CIV,6.21,2.11,4.26
2010,CIV,8.09,2.13,4.65
1950,KEN,0.22,0.16,1.16
1955,KEN,0.22,0.17,1.31
1960,KEN,0.21,0.17,1.51
1965,KEN,0.24,0.21,1.69
1970,KEN,0.3,0.21,2.17
1975,KEN,0.7,0.42,2.66
1980,KEN,0.96,0.65,3.41
1985,KEN,1.15,0.95,4.13
1990,KEN,1.98,1.29,4.78
1995,KEN,3.23,1.74,5.26
2000,KEN,5.52,2.26,5.69
2005,KEN,9.52,2.84,6.25
2010,KEN,13.3,3.4,6.14
1950,LSO,0.56,0.04,2.47
1955,LSO,0.72,0.04,2.73
1960,LSO,0.87,0.04,2.96
1965,LSO,1.07,0.03,3.24
1970,LSO,3.01,0.05,3.55
1975,LSO,5.97,0.05,3.91
1980,LSO,8.42,0.19,4.3
1985,LSO,11.46,0.29,4.64
1990,LSO,14.87,0.39,5.12
1995,LSO,19.52,0.54,5.66
2000,LSO,24.5,0.62,6.21
2005,LSO,33,0.64,6.93
2010,LSO,13.18,0.76,5.85
1950,LBR,0.74,0.56,0.57
1955,LBR,0.77,0.5,0.62
1960,LBR,0.91,0.6,0.73
1965,LBR,1.87,0.59,0.93
1970,LBR,2.99,0.66,1.15
1975,LBR,4.92,0.87,1.66
1980,LBR,6.13,0.93,2.2
1985,LBR,6.79,1.14,2.69
1990,LBR,6.86,1.44,3.02
1995,LBR,6.89,1.69,3.08
2000,LBR,7.88,2.35,3.49
2005,LBR,9.71,2.41,3.85
2010,LBR,12.49,1.9,4.2
1950,MWI,0.11,0.03,0.96
1955,MWI,0.16,0.03,1.03
1960,MWI,0.21,0.03,1.09
1965,MWI,0.2,0,1.21
1970,MWI,0.65,0.1,1.57
1975,MWI,1.18,0.15,1.86
1980,MWI,1.49,0.16,2.34
1985,MWI,0.03,0.25,2.65
1990,MWI,1.94,0.23,2.9
1995,MWI,2.61,0.25,3.06
2000,MWI,4.74,0.21,3.48
2005,MWI,6.86,0.18,4.41
2010,MWI,7.92,0.15,4.81
1950,MLI,0.05,0.03,0.15
1955,MLI,0.07,0.04,0.17
1960,MLI,0.09,0.05,0.2
1965,MLI,0.14,0.08,0.24
1970,MLI,0.18,0.1,0.29
1975,MLI,0.36,0.14,0.45
1980,MLI,0.69,0.16,0.62
1985,MLI,0.9,0.23,0.78
1990,MLI,0.98,0.27,0.89
1995,MLI,1.11,0.33,1.01
2000,MLI,1.51,0.5,1.23
2005,MLI,2.79,0.68,1.73
2010,MLI,3.86,0.78,1.97
1950,MRT,0.24,0.07,1.27
1955,MRT,0.27,0.07,1.35
1960,MRT,0.34,0.11,1.43
1965,MRT,0.42,0.13,1.52
1970,MRT,0.63,0.23,1.66
1975,MRT,0.9,0.3,1.83
1980,MRT,1.72,0.43,2.13
1985,MRT,2.33,0.57,2.43
1990,MRT,3.38,0.64,2.76
1995,MRT,4.26,0.93,3.12
2000,MRT,5.26,1.17,3.55
2005,MRT,6.71,1.11,4.06
2010,MRT,8.21,0.97,4.53
1950,MUS,5.66,0.1,2.51
1955,MUS,7.45,0.25,2.91
1960,MUS,10.93,0.25,3.56
1965,MUS,12.88,0.34,4.23
1970,MUS,16.2,0.36,4.93
1975,MUS,18.04,0.51,5.09
1980,MUS,20.22,0.77,5.36
1985,MUS,23.35,1.11,5.86
1990,MUS,29.99,0.63,6.49
1995,MUS,27.34,0.83,6.83
2000,MUS,20.25,0.89,6.7
2005,MUS,30.55,1.6,7.84
2010,MUS,44.52,1.88,8.86
1950,MAR,0.74,0.02,0.28
1955,MAR,0.99,0.02,0.38
1960,MAR,1.28,0.06,0.49
1965,MAR,1.87,0.1,0.71
1970,MAR,2.42,0.17,0.98
1975,MAR,3.02,0.59,1.35
1980,MAR,3.84,0.7,1.76
1985,MAR,4.79,2.21,2.29
1990,MAR,5.91,2.98,2.86
1995,MAR,7.17,3.69,3.4
2000,MAR,8.46,4.07,3.82
2005,MAR,10,4.67,4.34
2010,MAR,12.13,5.35,4.96
1950,MOZ,0.23,0.03,0.49
1955,MOZ,0.29,0.03,0.65
1960,MOZ,0.34,0.03,0.82
1965,MOZ,0.38,0.04,1
1970,MOZ,0.42,0.05,1.01
1975,MOZ,0.47,0.03,0.95
1980,MOZ,0.7,0.02,1.12
1985,MOZ,0.82,0.07,1.17
1990,MOZ,0.88,0.13,1
1995,MOZ,0.95,0.14,0.93
2000,MOZ,1.38,0.2,1.08
2005,MOZ,1.89,0.23,1.28
2010,MOZ,3.38,0.26,1.93
1950,NER,0.09,0.06,0.32
1955,NER,0.09,0.07,0.34
1960,NER,0.13,0.08,0.38
1965,NER,0.19,0.09,0.4
1970,NER,0.22,0.1,0.44
1975,NER,0.37,0.13,0.52
1980,NER,0.69,0.16,0.65
1985,NER,1.08,0.23,0.83
1990,NER,1.5,0.29,1.04
1995,NER,1.81,0.36,1.23
2000,NER,2.05,0.42,1.38
2005,NER,2.55,0.47,1.57
2010,NER,3.39,0.51,1.88
1950,RWA,0.41,0.04,0.32
1955,RWA,0.43,0.04,0.45
1960,RWA,0.61,0.05,0.79
1965,RWA,0.7,0.06,0.94
1970,RWA,0.89,0.08,1.16
1975,RWA,1.07,0.1,1.44
1980,RWA,1.32,0.09,1.69
1985,RWA,1.6,0.1,1.88
1990,RWA,2.3,0.12,2.18
1995,RWA,2.92,0.14,2.66
2000,RWA,3.64,0.22,3.23
2005,RWA,4.83,0.33,3.83
2010,RWA,6.16,0.53,4.36
1950,SEN,0.2,0.07,1.76
1955,SEN,0.3,0.09,1.84
1960,SEN,0.44,0.13,2.08
1965,SEN,0.69,0.21,2.11
1970,SEN,1.12,0.31,2.29
1975,SEN,1.78,0.43,2.45
1980,SEN,2.26,0.57,2.49
1985,SEN,2.8,0.68,2.43
1990,SEN,3.19,0.74,2.33
1995,SEN,3.65,0.72,2.2
2000,SEN,3.27,0.53,1.92
2005,SEN,3.52,0.29,1.57
2010,SEN,2.19,1.25,2.74
1950,SLE,0.61,0.11,0.41
1955,SLE,0.73,0.13,0.46
1960,SLE,0.79,0.15,0.5
1965,SLE,1.05,0.2,0.67
1970,SLE,1.36,0.16,0.84
1975,SLE,1.75,0.18,1.1
1980,SLE,2.22,0.19,1.4
1985,SLE,2.74,0.33,1.75
1990,SLE,3.17,0.38,2.09
1995,SLE,3.44,0.45,2.46
2000,SLE,4.04,0.55,2.78
2005,SLE,5.15,0.67,3.22
2010,SLE,7.66,1.22,4.23
1950,ZAF,4.87,0.27,4.03
1955,ZAF,5.33,0.3,4.32
1960,ZAF,5.44,0.3,4.39
1965,ZAF,5.82,0.33,4.45
1970,ZAF,6.66,0.33,4.61
1975,ZAF,7.55,0.21,4.83
1980,ZAF,9.27,0.16,5.11
1985,ZAF,4.83,0.16,5.11
1990,ZAF,11.07,0.42,6.81
1995,ZAF,26.25,0.53,8.29
2000,ZAF,18.46,0.53,7.68
2005,ZAF,30.96,0.36,8.65
2010,ZAF,53.9,0.32,9.69
1950,SDN,0.17,0.21,0.32
1955,SDN,0.24,0.26,0.4
1960,SDN,0.31,0.29,0.48
1965,SDN,0.45,0.34,0.59
1970,SDN,0.58,0.38,0.73
1975,SDN,1.14,0.41,0.96
1980,SDN,1.69,0.38,1.27
1985,SDN,2.63,0.3,1.71
1990,SDN,3.37,0.38,2.15
1995,SDN,3.62,0.54,2.52
2000,SDN,3.34,0.87,2.82
2005,SDN,2.9,1.24,3.15
2010,SDN,2.68,1.87,3.21
1950,SWZ,1.69,0.21,1.23
1955,SWZ,1.91,0.22,1.48
1960,SWZ,2.1,0.22,1.72
1965,SWZ,2.23,0.18,2.06
1970,SWZ,3.03,0.66,2.89
1975,SWZ,4.01,1.1,3.81
1980,SWZ,5.68,1.63,4.44
1985,SWZ,8.02,2.09,5.08
1990,SWZ,7.97,1.62,5.09
1995,SWZ,7.45,1.35,5
2000,SWZ,5.56,0.94,4.44
2005,SWZ,2.94,0.02,2.99
2010,SWZ,5.4,1.64,5.06
1950,TZA,0.16,0.03,1.21
1955,TZA,0.17,0.04,1.27
1960,TZA,0.16,0.07,1.65
1965,TZA,0.18,0.09,1.83
1970,TZA,0.37,0.14,2.27
1975,TZA,0.48,0.18,2.56
1980,TZA,0.62,0.24,3.24
1985,TZA,0.71,0.3,3.67
1990,TZA,0.78,0.34,4.09
1995,TZA,0.83,0.4,4.38
2000,TZA,0.68,0.37,4.73
2005,TZA,1.1,0.34,5.11
2010,TZA,2.2,0.36,5.81
1950,TGO,0.12,0.05,0.34
1955,TGO,0.15,0.06,0.4
1960,TGO,0.2,0.07,0.49
1965,TGO,0.27,0.07,0.61
1970,TGO,0.47,0.06,0.85
1975,TGO,2.28,0.39,1.82
1980,TGO,4.39,0.67,2.8
1985,TGO,5.72,0.76,3.42
1990,TGO,7.26,0.83,3.99
1995,TGO,8.62,0.9,4.31
2000,TGO,10.55,1.05,4.75
2005,TGO,11.38,1.29,5.16
2010,TGO,9.18,1.51,5.49
1950,TUN,1.37,0.26,0.65
1955,TUN,1.67,0.3,0.78
1960,TUN,1.97,0.34,0.92
1965,TUN,2.94,0.47,1.3
1970,TUN,4.22,0.53,1.79
1975,TUN,5.85,0.54,2.45
1980,TUN,7.28,0.93,3.25
1985,TUN,9.03,1.38,3.7
1990,TUN,10.63,2.05,4.39
1995,TUN,12.46,2.48,5.07
2000,TUN,13.98,3.77,5.9
2005,TUN,15.34,5.71,6.78
2010,TUN,16.44,7.38,7.48
1950,UGA,0.73,0.01,0.89
1955,UGA,0.89,0.01,1.02
1960,UGA,1.1,0,1.16
1965,UGA,0.69,0.05,1.24
1970,UGA,0.27,0.07,1.52
1975,UGA,0.37,0.11,1.93
1980,UGA,0.73,0.15,2.29
1985,UGA,1.1,0.19,2.86
1990,UGA,1.44,0.19,3.48
1995,UGA,1.52,1.26,3.97
2000,UGA,2.01,1.75,4.33
2005,UGA,4.34,1.56,4.97
2010,UGA,6.02,1.23,5.7
1950,COD,0.3,0.01,0.58
1955,COD,0.46,0,0.65
1960,COD,0.65,0.02,0.81
1965,COD,0.9,0.04,0.99
1970,COD,1.31,0.1,1.23
1975,COD,2.05,0.2,1.55
1980,COD,3.95,0.26,2.06
1985,COD,7.36,0.37,2.75
1990,COD,9.22,0.51,3.18
1995,COD,9.79,0.65,3.37
2000,COD,10.09,0.59,3.37
2005,COD,11.03,0.5,3.49
2010,COD,12.56,0.46,3.66
1950,ZMB,0.13,0.1,1.77
1955,ZMB,0.17,0.13,1.96
1960,ZMB,0.31,0.17,2.26
1965,ZMB,0.55,0.2,2.57
1970,ZMB,0.83,0.2,2.98
1975,ZMB,2.81,0.21,3.65
1980,ZMB,5.41,0.15,4.17
1985,ZMB,8.39,0.16,4.61
1990,ZMB,12.99,0.12,4.89
1995,ZMB,11.43,0.79,6.01
2000,ZMB,11.35,0.77,6.16
2005,ZMB,11.69,0.61,6.42
2010,ZMB,16.53,0.49,7.32
1950,ZWE,3.38,0.43,1.58
1955,ZWE,3.76,0.6,1.88
1960,ZWE,4,0.76,2.24
1965,ZWE,4.2,0.93,2.51
1970,ZWE,4.64,1.08,3.01
1975,ZWE,4.93,1.29,3.45
1980,ZWE,7.92,1.61,3.89
1985,ZWE,12.56,2.01,4.67
1990,ZWE,20.75,1.83,5.73
1995,ZWE,18.69,1.32,6.7
2000,ZWE,7.19,0.53,7
2005,ZWE,8.04,0.44,7.47
2010,ZWE,6.83,0.38,7.61
1950,BRB,3.03,0.42,4.63
1955,BRB,3.27,0.48,4.79
1960,BRB,3.89,0.34,4.97
1965,BRB,10.59,0.64,6.61
1970,BRB,17.71,0.57,8.31
1975,BRB,14.54,1.37,7.65
1980,BRB,12.28,2.16,7.31
1985,BRB,14.4,2.46,7.98
1990,BRB,17.43,2.07,8.45
1995,BRB,20.62,1.56,8.88
2000,BRB,22.36,0.66,8.81
2005,BRB,22.52,1.53,9.34
2010,BRB,21.76,2.07,9.45
1950,CAN,16.44,4.33,7.6
1955,CAN,17.12,5.62,7.93
1960,CAN,18.05,6.98,8.34
1965,CAN,16.66,7.87,8.65
1970,CAN,17.39,9.66,9.14
1975,CAN,18.92,12.73,9.7
1980,CAN,20.3,14.93,10.15
1985,CAN,24.72,8.14,9.94
1990,CAN,27.25,9.93,10.33
1995,CAN,29.42,11.54,10.71
2000,CAN,30.19,13.89,10.95
2005,CAN,32.11,20.47,12.03
2010,CAN,31.79,22.67,12.32
1950,CRI,2.39,1.12,3.55
1955,CRI,2.72,1.37,3.76
1960,CRI,3.08,1.61,3.89
1965,CRI,3.71,1.85,4.12
1970,CRI,3.89,1.75,3.94
1975,CRI,7.25,3.62,5.15
1980,CRI,9.09,5.5,6.11
1985,CRI,11.17,7.39,6.7
1990,CRI,12.36,9.71,7.11
1995,CRI,13.56,11.94,7.42
2000,CRI,15.76,12.39,7.7
2005,CRI,18.78,12.56,8.12
2010,CRI,18.86,14.69,7.97
1950,DOM,0.52,0.3,2.52
1955,DOM,0.53,0.3,2.57
1960,DOM,0.61,0.31,2.76
1965,DOM,1.82,0.36,3.09
1970,DOM,3.6,0.46,3.63
1975,DOM,4.23,0.62,4.19
1980,DOM,5.61,0.99,4.87
1985,DOM,6.86,1.3,5.4
1990,DOM,8.19,1.99,6
1995,DOM,9.42,2.41,6.32
2000,DOM,10.78,2.94,6.72
2005,DOM,13.26,3.48,7.2
2010,DOM,21.88,2.89,7.78
1950,SLV,1.31,0.25,1.53
1955,SLV,1.73,0.24,1.68
1960,SLV,2.43,0.24,1.97
1965,SLV,2.86,0.67,2.36
1970,SLV,3.22,1.16,2.83
1975,SLV,3.5,2.34,3.24
1980,SLV,4.02,2.85,3.59
1985,SLV,3.57,4.83,4.25
1990,SLV,4.97,4.4,4.67
1995,SLV,7.19,5.65,5.42
2000,SLV,11.66,6.54,6.59
2005,SLV,14.74,6.39,7.34
2010,SLV,22.7,3.92,7.77
1950,GTM,1.43,0.22,1.31
1955,GTM,1.68,0.28,1.36
1960,GTM,1.83,0.35,1.4
1965,GTM,2.12,0.36,1.48
1970,GTM,2.79,0.57,1.72
1975,GTM,3.66,0.73,2.01
1980,GTM,5.39,1.41,2.86
1985,GTM,5.94,1.37,3.16
1990,GTM,7.36,1.53,3.53
1995,GTM,8.49,1.69,3.8
2000,GTM,10.9,1.74,4.1
2005,GTM,7.88,1.54,3.97
2010,GTM,10.23,0,4.57
1950,HTI,0.99,0.12,0.59
1955,HTI,1.21,0.13,0.67
1960,HTI,1.57,0.15,0.8
1965,HTI,1.97,0.16,0.95
1970,HTI,2.68,0.22,1.18
1975,HTI,3.81,0.28,1.5
1980,HTI,5.72,0.45,1.99
1985,HTI,8.18,0.4,2.94
1990,HTI,10.99,0.47,3.43
1995,HTI,14.04,0.51,3.92
2000,HTI,17.4,0.55,4.33
2005,HTI,21,0.6,4.81
2010,HTI,23.1,0.67,5.11
1950,HND,2.34,0.25,1.64
1955,HND,2.62,0.26,1.75
1960,HND,3.13,0.24,1.92
1965,HND,3.54,0.32,2.1
1970,HND,4.01,0.4,2.33
1975,HND,4.61,0.44,2.64
1980,HND,6.96,1.08,3.62
1985,HND,9.82,1.55,4.49
1990,HND,10.23,1.75,4.89
1995,HND,11.3,1.97,5.26
2000,HND,12.26,2.39,5.65
2005,HND,14.98,2.46,6.03
2010,HND,16.13,1.93,6.19
1950,JAM,1.53,0.19,3.59
1955,JAM,1.7,0.2,3.67
1960,JAM,2.49,0.18,3.87
1965,JAM,3.67,0.4,4.4
1970,JAM,4.55,0.55,4.86
1975,JAM,7.12,0.73,5.42
1980,JAM,11.6,0.75,6.08
1985,JAM,15.67,1.2,6.63
1990,JAM,19.25,1.73,7.15
1995,JAM,24.07,4.4,8.18
2000,JAM,28.32,7.09,9.14
2005,JAM,31.7,7.7,9.66
2010,JAM,34.23,8.37,9.87
1950,MEX,1.46,0.89,2.19
1955,MEX,1.58,0.88,2.34
1960,MEX,1.91,0.85,2.52
1965,MEX,3.5,1.2,2.96
1970,MEX,4.05,1.55,3.39
1975,MEX,5.82,2.41,4.09
1980,MEX,8.12,3.36,4.9
1985,MEX,10.98,3.58,5.77
1990,MEX,13.39,3.87,6.47
1995,MEX,15.7,5.12,7.2
2000,MEX,16.63,6.84,7.66
2005,MEX,19.79,8.41,8.45
2010,MEX,19.41,9.81,8.79
1950,NIC,1.48,0.35,1.55
1955,NIC,1.9,1,1.83
1960,NIC,2.33,1.98,2.17
1965,NIC,3.13,3.34,2.58
1970,NIC,3.88,5.18,3.03
1975,NIC,4.4,6.02,3.32
1980,NIC,5.23,7.73,3.75
1985,NIC,6.37,8.14,4.1
1990,NIC,7.77,8.16,4.49
1995,NIC,10.4,8.37,5.02
2000,NIC,11.99,9.28,5.51
2005,NIC,14.16,9.32,5.98
2010,NIC,17.29,10.33,6.61
1950,PAN,3.48,0.85,3.76
1955,PAN,3.99,1.1,4.14
1960,PAN,4.64,1.35,4.59
1965,PAN,6.6,1.78,4.84
1970,PAN,10.12,2.1,5.21
1975,PAN,12.26,2.98,5.89
1980,PAN,16.2,3.57,6.66
1985,PAN,18.92,4.71,7.34
1990,PAN,18.07,5.91,7.65
1995,PAN,23.1,8.82,8.43
2000,PAN,20.86,12.53,8.74
2005,PAN,25.54,13.51,9.18
2010,PAN,26.38,14.37,9.27
1950,TTO,2.58,0.37,5
1955,TTO,2.9,0.45,5.32
1960,TTO,3.33,0.53,5.65
1965,TTO,3.84,0.59,5.98
1970,TTO,4.57,0.57,6.4
1975,TTO,4.91,1.1,6.93
1980,TTO,5.85,1.59,7.48
1985,TTO,8.08,1.66,7.98
1990,TTO,12.26,1.9,8.46
1995,TTO,17.66,2.65,9
2000,TTO,25.96,3.28,9.51
2005,TTO,36.83,4.72,10.08
2010,TTO,50.54,6.48,10.63
1950,USA,24.6,6.31,8.4
1955,USA,26.86,7.12,8.75
1960,USA,30.33,8.46,9.17
1965,USA,37.17,8.98,10.03
1970,USA,42.84,11.39,10.78
1975,USA,45.16,13.3,11.46
1980,USA,49.03,16.74,12.03
1985,USA,40.88,18.51,12.08
1990,USA,35.98,20.71,12.2
1995,USA,38.26,20.4,12.59
2000,USA,30.16,22.97,12.64
2005,USA,35.99,22.39,12.86
2010,USA,36.19,26.76,13.18
1950,ARG,4.42,0.63,4.85
1955,ARG,5.67,1.22,5.2
1960,ARG,7.34,1.95,5.67
