year,WBcode,lsc,lhc,yr_sch
1965,ARG,8.51,2.21,5.94
1970,ARG,10.14,2.52,6.31
1975,ARG,11.95,3.64,6.85
1980,ARG,15.86,3.43,7.3
1985,ARG,17.07,4.99,7.85
1990,ARG,19.38,5.77,8.37
1995,ARG,23.21,4.32,8.64
2000,ARG,24.53,3.1,8.73
2005,ARG,28.94,3.09,9.38
2010,ARG,31.07,2.87,9.51
1950,BOL,5.27,0.85,2.32
1955,BOL,5.84,1.05,2.67
1960,BOL,6.52,1.25,3.06
1965,BOL,7.6,1.6,3.57
1970,BOL,8.48,1.87,4
1975,BOL,11.27,2.24,4.6
1980,BOL,13.99,2.82,5.48
1985,BOL,17.56,3.33,6.38
1990,BOL,22.39,3.83,7.26
1995,BOL,25.39,4.67,7.83
2000,BOL,31.87,5.27,8.29
2005,BOL,27.26,7.25,8.49
2010,BOL,17.95,8.43,8.25
1950,BRA,3.22,0.44,2.08
1955,BRA,3.69,0.58,2.29
1960,BRA,4.17,0.83,2.55
1965,BRA,4.53,0.99,2.85
1970,BRA,4.82,1.24,3.29
1975,BRA,2.85,2.3,2.9
1980,BRA,3.59,2.79,3.04
1985,BRA,5.04,2.72,3.94
1990,BRA,6.72,3.03,4.69
1995,BRA,10.36,3.72,5.58
2000,BRA,16.61,3.7,6.52
2005,BRA,23.01,3.73,7.29
2010,BRA,26.37,5.63,7.89
1950,CHL,9.18,1.55,4.81
1955,CHL,10.13,1.44,4.98
1960,CHL,10.98,1.31,5.22
1965,CHL,12.19,1.93,5.66
1970,CHL,13.45,2.65,6.09
1975,CHL,14.73,2.73,6.57
1980,CHL,16.53,2.68,6.95
1985,CHL,21.65,4.44,7.65
1990,CHL,28.51,6.23,8.36
1995,CHL,28.21,7.54,8.78
2000,CHL,28.55,8.33,9.07
2005,CHL,34.07,7.43,9.67
2010,CHL,38.13,5.92,9.78
1950,COL,1.71,0.56,2.33
1955,COL,1.93,0.73,2.68
1960,COL,2.27,1.04,3.05
1965,COL,2.76,1.49,3.42
1970,COL,3.72,1.86,3.91
1975,COL,4.51,2.33,4.36
1980,COL,5.59,4.07,4.89
1985,COL,7.42,5.54,5.49
1990,COL,9.66,7.37,5.99
1995,COL,14.01,8.61,6.47
2000,COL,20.34,8.66,6.9
2005,COL,29.17,6.6,7.06
2010,COL,24.99,18.55,8.95
1950,ECU,2.67,0.4,2.55
1955,ECU,3.34,0.51,2.87
1960,ECU,4.11,0.6,3.22
1965,ECU,5.08,0.84,3.9
1970,ECU,6.1,1.09,4.42
1975,ECU,7.54,1.33,4.92
1980,ECU,11.89,3.55,6.15
1985,ECU,14.08,4.56,6.56
1990,ECU,16.2,5.83,7
1995,ECU,16.53,6.23,7.1
2000,ECU,16.3,6.98,7.1
2005,ECU,18.64,6.16,7.37
2010,ECU,25.34,5.19,7.6
1950,GUY,1.92,0.27,4.24
1955,GUY,2.53,0.35,4.56
1960,GUY,3.43,0.38,4.86
1965,GUY,5.03,0.39,5.28
1970,GUY,6.56,0.37,5.66
1975,GUY,8.17,0.63,6.04
1980,GUY,10.88,0.77,6.49
1985,GUY,13.7,0.78,6.87
1990,GUY,16.53,0.66,7.09
1995,GUY,21.59,0.47,7.68
2000,GUY,25.86,0.06,8.13
2005,GUY,29.44,0.15,8.51
2010,GUY,33.01,0.24,8.79
1950,PRY,2.43,0.39,2.69
1955,PRY,2.84,0.51,3
1960,PRY,3.66,0.65,3.43
1965,PRY,4.34,0.95,3.69
1970,PRY,5.6,1.18,4.14
1975,PRY,6.66,1.37,4.68
1980,PRY,9.33,1.97,5.2
1985,PRY,10.71,2.53,5.8
1990,PRY,12.14,3.36,6.11
1995,PRY,11.84,3.44,6.25
2000,PRY,15.27,3.74,6.23
2005,PRY,30.06,1.51,7.59
2010,PRY,20.81,3.88,7.57
1950,PER,5.12,1.18,2.83
1955,PER,5.31,1.51,3
1960,PER,6.18,1.46,3.21
1965,PER,8.06,2.21,3.7
1970,PER,10.09,3.05,4.36
1975,PER,12.39,5.07,5.32
1980,PER,13.63,6.93,6.1
1985,PER,15.49,9.71,6.62
1990,PER,18.45,13.79,7.23
1995,PER,26.57,15.53,7.88
2000,PER,24.9,20.54,8.85
2005,PER,26.53,24.37,9.55
2010,PER,37.3,12.27,8.88
1950,URY,4.51,0.81,4.34
1955,URY,5.02,0.93,4.6
1960,URY,6.06,1.01,4.87
1965,URY,7.34,1.07,5.2
1970,URY,8.93,1.54,5.7
1975,URY,10.42,2.13,6.16
1980,URY,12.55,2.65,6.7
1985,URY,14.13,3.38,7.24
1990,URY,13.78,4.22,7.45
1995,URY,13.23,5.46,7.57
2000,URY,15.39,4.5,8.07
2005,URY,15.88,3.67,7.96
2010,URY,18.56,3.5,8.17
1950,VEN,0.93,0.26,1.63
1955,VEN,1.58,0.5,1.98
1960,VEN,2.75,0.54,2.38
1965,VEN,3.78,0.77,2.66
1970,VEN,6.17,1.01,3.28
1975,VEN,8.81,1.77,4.31
1980,VEN,10.19,2.45,5.27
1985,VEN,7.61,2.49,5.12
1990,VEN,9.47,2.43,4.97
1995,VEN,8.35,2.52,5.86
2000,VEN,13.17,2.7,6.71
2005,VEN,18.99,2.97,7.51
2010,VEN,31.94,2.96,8.41
1950,AFG,0.1,0.25,0.27
1955,AFG,0.13,0.31,0.31
1960,AFG,0.17,0.41,0.37
1965,AFG,0.22,0.59,0.42
1970,AFG,0.51,1.08,0.69
1975,AFG,0.74,1.48,0.92
1980,AFG,1.15,1.96,1.22
1985,AFG,1.54,2.49,1.57
1990,AFG,1.81,2.91,1.87
1995,AFG,2.98,3.28,2.26
2000,AFG,4.69,3.5,2.86
2005,AFG,6.56,3.61,3.21
2010,AFG,8.65,3.65,3.85
1950,BHR,2.15,1.46,1
1955,BHR,2.03,1.37,1.07
1960,BHR,3.09,1.49,1.29
1965,BHR,4.79,1.79,1.75
1970,BHR,11.2,2.06,3.08
1975,BHR,13.94,2.45,4.02
1980,BHR,17.49,3.39,4.93
1985,BHR,20.41,6.28,5.65
1990,BHR,25.52,8.53,6.54
1995,BHR,29.63,9.17,7.1
2000,BHR,32.48,9.08,7.48
2005,BHR,31.57,8.8,7.19
2010,BHR,32.11,7.76,7.06
1950,BGD,1.92,0.14,0.93
1955,BGD,1.98,0.14,0.94
1960,BGD,2.24,0.18,1.02
1965,BGD,2.62,0.27,1.25
1970,BGD,3.04,0.39,1.38
1975,BGD,4.04,0.42,1.57
1980,BGD,4.89,0.54,2.25
1985,BGD,6.59,1.08,2.82
1990,BGD,8.05,1.44,3.13
1995,BGD,10.62,1.97,3.68
2000,BGD,17.62,1.98,4.48
2005,BGD,21.48,2.11,5.24
2010,BGD,24.97,2.28,5.91
1950,MMR,2.36,0.19,1.15
1955,MMR,2.45,0.21,1.21
1960,MMR,2.49,0.21,1.23
1965,MMR,2.83,0.21,1.38
1970,MMR,3.27,0.18,1.45
1975,MMR,3.12,0.09,1.6
1980,MMR,5.61,0.74,2.23
1985,MMR,7.65,1.07,2.73
1990,MMR,4.88,2.14,2.83
1995,MMR,5.98,2.35,3.22
2000,MMR,6.83,2.94,3.69
2005,MMR,8.14,3.88,4.23
2010,MMR,9.51,5.15,4.85
1950,CHN,1.81,0.21,1.61
1955,CHN,2.13,0.29,1.96
1960,CHN,2.89,0.4,2.51
1965,CHN,3.69,0.48,3.11
1970,CHN,4.89,0.46,3.82
1975,CHN,6.46,0.47,4.48
1980,CHN,9.35,0.48,5.31
1985,CHN,14.28,0.76,5.72
1990,CHN,19.88,1.08,6.04
1995,CHN,25.21,1.92,6.79
2000,CHN,27.53,2.75,7.38
2005,CHN,26.86,2.84,7.69
2010,CHN,22.85,2.71,7.95
1950,HKG,9.42,2.82,4.36
1955,HKG,9.69,2.34,4.64
1960,HKG,10.07,2.62,4.89
1965,HKG,13,2.48,5.71
1970,HKG,18.8,1.36,6.3
1975,HKG,21.17,1.63,6.91
1980,HKG,24.35,3.33,7.97
1985,HKG,28.68,4.11,8.7
1990,HKG,30.31,7.32,9.39
1995,HKG,29.98,9.26,9.41
2000,HKG,30.06,10.28,9.31
2005,HKG,32.6,19.38,11.18
2010,HKG,43.74,15.22,11.38
1950,IND,0.31,0.36,0.99
1955,IND,0.33,0.4,1.06
1960,IND,0.24,0.32,1.13
1965,IND,0.29,0.54,1.3
1970,IND,0.29,0.62,1.61
1975,IND,0.37,0.95,2.01
1980,IND,0.5,1.22,2.34
1985,IND,0.57,1.74,2.89
1990,IND,0.55,2.23,3.45
1995,IND,6.93,3.36,4.12
2000,IND,19.83,4.01,5.03
2005,IND,21.8,4.38,5.63
2010,IND,25.03,4.85,6.24
1950,IDN,0.51,0.03,1.09
1955,IDN,0.59,0.04,1.25
1960,IDN,0.9,0.04,1.57
1965,IDN,1.26,0.14,2.17
1970,IDN,2.07,0.17,2.84
1975,IDN,3.23,0.24,3.19
1980,IDN,5.15,0.25,3.63
1985,IDN,7.71,0.81,3.86
1990,IDN,10.9,0.98,4.18
1995,IDN,9.79,1.15,4.62
2000,IDN,9.72,1.21,5.15
2005,IDN,15.04,2.67,6.41
2010,IDN,22.09,3.73,7.61
1950,IRN,0.96,0.18,0.54
1955,IRN,1.29,0.23,0.66
1960,IRN,2.04,0.39,0.92
1965,IRN,3.42,0.57,1.42
1970,IRN,6.37,0.94,2.03
1975,IRN,9.56,1.53,2.67
1980,IRN,13.95,1.9,3.58
1985,IRN,18.34,2.55,4.41
1990,IRN,21.21,4.13,5.22
1995,IRN,26.39,6.36,6.35
2000,IRN,27.56,8,7.31
2005,IRN,30.65,9.74,8.06
2010,IRN,30.54,14.66,8.88
1950,IRQ,0.45,0.33,0.24
1955,IRQ,0.69,0.33,0.33
1960,IRQ,0.96,0.47,0.5
1965,IRQ,1.55,0.81,0.85
1970,IRQ,2.58,1.11,1.43
1975,IRQ,3.61,1.68,1.97
1980,IRQ,6.05,2.15,2.74
1985,IRQ,8.83,2.98,3.73
1990,IRQ,10.79,3.8,4.58
1995,IRQ,11.72,4.16,5.09
2000,IRQ,14.15,5.34,5.9
2005,IRQ,14.76,6.75,6.31
2010,IRQ,17.4,8.77,7.16
1950,ISR,18.78,4.76,7.3
1955,ISR,19.71,4.88,7.39
1960,ISR,21.21,5.3,7.66
1965,ISR,22.17,6.33,8.11
1970,ISR,25.94,6.75,8.66
1975,ISR,28.21,9.62,9.56
1980,ISR,32.14,10.95,10.27
1985,ISR,30.25,12.77,10.49
1990,ISR,30.32,14.2,10.83
1995,ISR,28.81,16.27,11.07
2000,ISR,28.36,18.34,11.34
2005,ISR,29.59,18.8,11.47
2010,ISR,39.07,20.26,12.32
1950,JPN,19.09,1.64,6.73
1955,JPN,22.78,2.07,7.19
1960,JPN,26.9,2.72,7.76
1965,JPN,19.61,2.34,7.48
1970,JPN,20.18,3.55,7.83
1975,JPN,22.18,5.66,8.38
1980,JPN,31,5.04,9.1
1985,JPN,32.92,10.76,9.63
1990,JPN,29.73,12.48,9.82
1995,JPN,34.57,14.28,10.51
2000,JPN,37.41,16.15,10.94
2005,JPN,39.62,17.88,11.3
2010,JPN,40.98,18.91,11.6
1950,JOR,2.85,0.39,1.33
1955,JOR,4.54,0.42,1.76
1960,JOR,6.25,0.66,2.41
1965,JOR,7.54,1.07,3
1970,JOR,8.35,1.76,3.47
1975,JOR,9.04,2.73,4.01
1980,JOR,8.9,2.91,4.55
1985,JOR,15.22,3.81,5.68
1990,JOR,21.95,3.48,6.61
1995,JOR,28.46,3.62,7.58
2000,JOR,31.95,3.74,8.36
2005,JOR,31.15,3.98,9.07
2010,JOR,27.09,3.8,9.59
1950,KOR,4.28,0.72,4.5
1955,KOR,6.39,0.8,5.02
1960,KOR,8.66,1.39,4.2
1965,KOR,10.98,2.16,5.32
1970,KOR,13.4,3.16,6.19
1975,KOR,18.71,3.47,7.12
1980,KOR,26.11,4.76,8.13
1985,KOR,32.19,7.18,9
1990,KOR,38.97,9.4,9.85
1995,KOR,42.9,12.9,10.49
2000,KOR,39.59,19.08,11.06
2005,KOR,42.87,22.09,11.46
2010,KOR,35.46,30.04,12.05
1950,KWT,2.56,1.26,1.48
1955,KWT,3.54,1.62,1.84
1960,KWT,5.58,1.96,2.39
1965,KWT,7.3,2.09,2.85
1970,KWT,9.94,1.82,3.27
1975,KWT,12.22,2.54,3.51
1980,KWT,16.37,3.96,4.61
1985,KWT,20.3,6.1,5.54
1990,KWT,21.94,6.1,5.92
1995,KWT,22.62,6.3,6.11
2000,KWT,20.11,5.39,6.09
2005,KWT,17.48,4.18,6.07
2010,KWT,18.7,4.28,6.34
1950,MYS,1.97,0.44,2.08
1955,MYS,2.45,0.49,2.37
1960,MYS,3.23,0.51,2.83
1965,MYS,4.65,0.56,3.39
1970,MYS,7.16,0.61,4.2
1975,MYS,10.29,0.66,4.82
1980,MYS,15.41,0.87,5.76
1985,MYS,18.77,1.98,6.72
1990,MYS,17.05,2.32,6.97
1995,MYS,27.64,2.89,8.39
2000,MYS,35.01,3.18,9.09
2005,MYS,36.01,4.45,9.71
2010,MYS,39.81,5.81,10.44
1950,NPL,0.34,0.04,0.11
1955,NPL,0.25,0.05,0.11
1960,NPL,0.33,0.08,0.13
1965,NPL,0.46,0.13,0.27
1970,NPL,0.84,0.16,0.5
1975,NPL,1,0.39,0.72
1980,NPL,1.17,0.6,0.99
1985,NPL,2.06,1.41,1.76
1990,NPL,5.14,2.12,2.49
1995,NPL,6.28,2.1,2.65
2000,NPL,7.89,1.81,2.97
2005,NPL,10.21,1.76,3.55
2010,NPL,12.59,1.75,4.23
1950,PAK,2.79,0.43,0.99
1955,PAK,2.81,0.46,1.01
1960,PAK,3.33,0.6,1.15
1965,PAK,3.78,0.81,1.39
1970,PAK,4.6,1.16,1.58
1975,PAK,5.82,1.24,1.88
1980,PAK,7.52,1.48,2.15
1985,PAK,9.21,1.62,2.51
1990,PAK,11.13,1.92,2.92
1995,PAK,12.07,4.11,3.36
2000,PAK,13.29,6.09,3.87
2005,PAK,19.17,4.02,4.93
2010,PAK,19.13,4.43,5.02
1950,PHL,5.61,1.45,2.21
1955,PHL,7.17,2.99,3.2
1960,PHL,7.9,3.44,3.46
1965,PHL,8.6,4.69,3.93
1970,PHL,9.8,7.75,4.71
1975,PHL,11.93,6.14,5.49
1980,PHL,13.08,8.24,6.21
1985,PHL,14.57,7.13,6.58
1990,PHL,16.56,6.73,7.1
1995,PHL,17.62,6.71,7.56
2000,PHL,17.85,6.55,7.87
2005,PHL,21.56,5.94,8.18
2010,PHL,23.84,5.48,8.43
1950,SAU,2.91,1.83,2.31
1955,SAU,3.48,2.04,2.51
1960,SAU,4.1,2.27,2.71
1965,SAU,4.79,2.42,3.05
1970,SAU,5.47,2.56,3.22
1975,SAU,6.89,3.12,3.73
1980,SAU,8.61,3.73,4.26
1985,SAU,10.94,4.71,5.17
1990,SAU,12.8,5.45,5.84
1995,SAU,14.97,6.15,6.34
2000,SAU,18.14,6.91,7.08
2005,SAU,22.37,6.5,7.69
2010,SAU,29.11,6.67,8.53
1950,SGP,4.54,0.7,2.71
1955,SGP,5.61,0.82,3.1
1960,SGP,7.15,1.13,3.7
1965,SGP,8.94,1.51,4.36
1970,SGP,11.55,1.33,5.2
1975,SGP,9.52,2.03,5.07
1980,SGP,9.76,2.44,5.26
1985,SGP,10.07,2.73,5.97
1990,SGP,9.52,2.6,6.66
1995,SGP,21.13,8.85,7.98
2000,SGP,40.74,13.79,9.15
2005,SGP,29.9,13.7,8.83
2010,SGP,30,29.71,10.81
1950,LKA,7.24,0.12,3.4
1955,LKA,8.88,0.15,3.7
1960,LKA,10.97,0.17,3.98
1965,LKA,13.27,0.15,4.33
1970,LKA,24.07,0.63,6.38
1975,LKA,24.45,0.55,6.72
1980,LKA,24.81,0.42,6.96
1985,LKA,29.36,1.56,7.62
1990,LKA,35.16,3.15,8.51
1995,LKA,40.97,5.25,9.35
2000,LKA,48.1,7.65,10.24
2005,LKA,35.67,8.6,10.31
2010,LKA,17.89,8.51,10.06
1950,SYR,0.33,0.21,0.85
1955,SYR,0.43,0.23,0.98
1960,SYR,0.79,0.2,1.21
1965,SYR,1.27,0.54,1.53
1970,SYR,2.37,0.48,2.04
1975,SYR,3.6,0.91,2.7
1980,SYR,3.79,1.6,3.36
1985,SYR,4.29,2.06,4.07
1990,SYR,5.08,2.36,4.47
1995,SYR,4.76,2.27,4.56
2000,SYR,4.12,1.9,4.58
2005,SYR,8.79,2.33,5.9
2010,SYR,18.09,2.55,6.7
1950,TWN,7.85,1.46,3.03
1955,TWN,8.56,1.43,3.33
1960,TWN,9.75,1.66,3.71
1965,TWN,11.1,1.86,4.11
1970,TWN,12.97,2.52,4.92
1975,TWN,19.5,2.49,5.81
1980,TWN,22.3,3.59,6.74
1985,TWN,24.75,4.31,7.4
1990,TWN,26.74,5.46,8.07
1995,TWN,28.95,6.35,8.77
2000,TWN,31.44,7.33,9.58
2005,TWN,32.98,7.65,10.54
2010,TWN,32.53,8.24,11.09
1950,THA,1.52,0.28,2.04
1955,THA,1.66,0.28,2.31
1960,THA,1.86,0.3,2.55
1965,THA,1.8,0.46,2.28
1970,THA,2.04,0.66,2.51
1975,THA,2.97,1.41,3.01
1980,THA,4.22,2.78,3.64
1985,THA,5.19,3.65,4.15
1990,THA,6.04,4.86,4.85
1995,THA,9.76,3.92,5.5
2000,THA,11.51,4.62,5.65
2005,THA,12.8,9.02,7.03
2010,THA,18.99,10.47,7.99
1950,ARE,1.79,1.02,0.79
1955,ARE,2.97,1.41,1.14
1960,ARE,4.51,1.75,1.51
1965,ARE,7.06,2.17,2.1
1970,ARE,9.29,2.55,2.54
1975,ARE,11.98,2.5,2.99
1980,ARE,16.07,3.21,3.89
1985,ARE,19.69,4.75,4.9
1990,ARE,23.53,6.42,6.11
1995,ARE,27.67,8.66,7.51
2000,ARE,29.96,9.7,8.43
2005,ARE,32.2,9.01,8.89
2010,ARE,35.68,8.54,9.07
1950,YEM,0.01,0.02,0.02
1955,YEM,0.01,0.02,0.03
1960,YEM,0.02,0.02,0.04
1965,YEM,0.02,0.02,0.05
1970,YEM,0.02,0.02,0.06
1975,YEM,0.2,0.05,0.09
1980,YEM,0.22,0.07,0.23
1985,YEM,1.21,0.21,0.61
1990,YEM,2.85,0.4,1.2
1995,YEM,3.93,0.72,1.67
2000,YEM,6,0.94,2.34
2005,YEM,8.57,1.21,3
2010,YEM,10.68,1.5,3.68
1950,AUT,2.05,1.13,5.97
1955,AUT,2.22,1.14,5.78
1960,AUT,4.25,1.21,5.86
1965,AUT,11.79,1.31,6.69
1970,AUT,18.83,1.45,7.4
1975,AUT,22.6,1.62,7.7
1980,AUT,26.33,1.55,7.89
1985,AUT,30.13,2.47,8.11
1990,AUT,34.97,2.97,8.36
1995,AUT,37.41,5.21,8.81
2000,AUT,38.76,7.06,8.97
2005,AUT,39.19,8.27,9.29
2010,AUT,40.81,9.37,9.6
1950,BEL,7.09,2.37,6.75
1955,BEL,7.83,2.71,7.04
1960,BEL,8.77,3.37,7.22
1965,BEL,9.36,4.04,7.33
1970,BEL,11.31,5.11,7.66
1975,BEL,13.4,7.41,8.03
1980,BEL,16.5,9.04,8.5
1985,BEL,19.82,11.2,8.97
1990,BEL,22.73,12.98,9.43
1995,BEL,30.12,14.51,10
2000,BEL,29.65,14.95,10.29
2005,BEL,34.15,15.82,10.59
2010,BEL,33.24,17.69,10.69
1950,CYP,4.21,1.02,3.56
1955,CYP,7.64,0.96,4.25
1960,CYP,12.17,0.93,5.14
1965,CYP,12.75,1.31,5.54
1970,CYP,15.71,1.99,5.88
1975,CYP,19.23,3.38,6.68
1980,CYP,23.13,5.79,7.5
1985,CYP,26.58,8.7,8.44
1990,CYP,28.65,11.57,9.14
1995,CYP,30.7,14.6,9.6
2000,CYP,33.29,15.89,9.94
2005,CYP,30.59,14.51,9.28
2010,CYP,35.05,20.75,11.07
1950,DNK,12.12,1.71,5.51
1955,DNK,5.7,2.74,4.6
1960,DNK,8.08,3.11,5.06
1965,DNK,11.1,3.97,5.72
1970,DNK,14.48,6.01,6.78
1975,DNK,17.95,6.58,7.46
1980,DNK,21.22,7.46,8.14
1985,DNK,22.97,9.33,8.77
1990,DNK,29.21,8.48,9.35
1995,DNK,33.44,10.37,10.04
2000,DNK,38.34,12.31,10.77
2005,DNK,38.29,14.53,11.1
2010,DNK,38.88,14.98,11.3
1950,FIN,1.13,1.38,3.86
1955,FIN,1.34,1.64,4.01
1960,FIN,1.65,1.91,4.18
1965,FIN,3.67,2.25,4.84
1970,FIN,5.87,3.17,5.73
1975,FIN,16.9,4.34,6.74
1980,FIN,24.36,6.37,7.56
1985,FIN,17.85,5.66,7.44
1990,FIN,17.11,5.67,7.55
1995,FIN,17.89,9.49,8.59
2000,FIN,19.39,10.88,9.09
2005,FIN,19.84,11.7,9.51
2010,FIN,21.65,11.88,9.84
1950,FRA,2.31,0.89,4.33
1955,FRA,2.49,1.07,4.45
1960,FRA,2.86,1.32,4.2
1965,FRA,4.23,2.06,4.65
1970,FRA,5.08,1.46,4.75
1975,FRA,8.04,3.89,5.76
1980,FRA,9.2,3.74,5.96
1985,FRA,16.71,4.86,6.91
1990,FRA,21.63,5.81,7.65
1995,FRA,28.33,7.2,8.82
2000,FRA,33.83,8.44,9.75
2005,FRA,35.91,8.71,10.12
2010,FRA,38.22,10.6,10.68
1950,GRC,8.72,1.28,4.14
1955,GRC,17.48,1.29,5.49
1960,GRC,31.87,1.7,7.39
1965,GRC,20.96,2.31,6.41
1970,GRC,19.01,3.73,6.52
1975,GRC,17.44,5.26,6.79
1980,GRC,16.27,5.87,7.1
1985,GRC,24.8,8.74,7.89
1990,GRC,33.65,11.33,8.58
1995,GRC,29.37,12.76,8.73
2000,GRC,31.42,12.22,8.89
2005,GRC,28.75,19.3,9.9
2010,GRC,29.05,22.5,10.3
1950,HUN,2.14,2.1,7.13
1955,HUN,2.36,2.35,7.27
1960,HUN,2.96,2.64,7.43
1965,HUN,3.47,2.68,7.6
1970,HUN,5.19,4.02,8.08
1975,HUN,8.57,5.13,8.57
1980,HUN,13.15,6.5,9
1985,HUN,17.03,7.27,8.99
1990,HUN,17.98,7.48,8.79
1995,HUN,32.96,8.52,10.41
2000,HUN,44.03,9.36,11.2
2005,HUN,50.31,12.57,11.66
2010,HUN,52.92,15.38,11.85
1950,ISL,4.32,1.52,5.7
1955,ISL,5.05,1.8,5.88
1960,ISL,6.51,2.08,6.14
1965,ISL,8.58,2.31,6.56
1970,ISL,11.2,2.72,7.01
1975,ISL,13.93,3.53,7.43
1980,ISL,16.06,4.62,7.88
1985,ISL,18.52,5.7,8.33
1990,ISL,21.63,6.94,8.78
1995,ISL,23.23,8.54,9.23
2000,ISL,24.23,10.71,9.67
2005,ISL,26.48,14.08,10.42
2010,ISL,25.21,17.89,11.05
1950,IRL,8.82,1.97,6.23
1955,IRL,10.15,2.19,6.48
1960,IRL,11.44,2.36,6.72
1965,IRL,13.29,2.5,7.09
1970,IRL,15.35,3.23,7.67
1975,IRL,18.47,4.42,8.42
1980,IRL,21.69,6.02,9.26
1985,IRL,24.1,8.33,9.97
1990,IRL,24.28,10.61,10.12
1995,IRL,25.28,14.07,10.39
2000,IRL,27.26,16.37,10.66
2005,IRL,29.98,20.47,11.54
2010,IRL,24.69,26.8,12.03
1950,ITA,4.08,0.67,4.21
1955,ITA,4.78,0.9,4.54
1960,ITA,5.9,0.99,4.86
1965,ITA,6.7,1.22,5.23
1970,ITA,8.34,1.25,5.63
1975,ITA,10.52,1.86,6.16
1980,ITA,13.85,1.92,6.71
1985,ITA,17.34,2.59,7.18
1990,ITA,20.15,3.53,7.7
1995,ITA,23.63,4.5,8.27
